source	source.label	target	target.label	edge
	Cranberry Bush	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
		Q49	North America	in North America is a Viburnum Opulus
	Cramp Bark	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
		Q188840	Medicincal Usage	in Medicinal Usage is a Viburnum Opulus
	Snowball Tree	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
		Q46	EUROPE VERNACULAR	in Europe is a Viburnum Opulus
	Common Snowball	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
		Q46	EUROPE VERNACULAR	in Europe is a Viburnum Opulus
	Kalyna	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
			UKRAINE, RUSSIA, & POLAND	in Ukraine, Russia, & Poland is a Viburnum Opulus
	Gilaburu	Q156928	Viburnum Opulus	in Common Name is a Viburnum Opulus
			TURKEY VERNACULAR	in Turkey is a Viburnum Opulus
	Water Elder	Q156928	Guelder Rose	in Common Name is a Viburnum Opulus
		Q46	EUROPE VERNACULAR	in Europe is a Viburnum Opulus
	Guelder Rose	Q156928	Viburnum Opulus 	in Common Name is a Viburnum Opulus
		Q775	Gelderland, Netherlands	Named after 
	Rose Elder	Q156928	Viburnum Opulus	in Common Name is a Guelder Rose
		Q46	EUROPE VERNACULAR	in Europe is a Viburnum Opulus